ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
tanassi,1,91,564,title,1.5763251179161766E-8,5.757052389176742E-5,4.18991814161531E-7,11.834549503377191,7.102264472330985,0.0,0.0,20.78173828125,11.324655532836914
legpuzzel,1,91,4144,title,1.1582076752916021E-7,5.757052389176742E-5,4.18991814161531E-7,8.95729256808943,7.102264472330985,0.0,0.0,15.03369140625,11.324655532836914
schoolkrant,1,91,5182,title,1.4483185746527707E-7,5.757052389176742E-5,4.18991814161531E-7,8.63480755559589,7.102264472330985,0.0,0.0,14.390625,11.324655532836914
evidence,1,91,6173,title,1.725293431364638E-7,5.757052389176742E-5,4.18991814161531E-7,8.382344779752996,7.102264472330985,0.0,0.0,13.8876953125,11.324655532836914
vliegtuigfabriek,6,553,15691,title,4.3854818129827533E-7,3.454231433506045E-4,2.546181024520073E-6,9.621413677601026,7.083885943016128,18.311579522082415,24.870993560524283,98.166015625,67.73264694213867
culbroc,3,277,932,title,2.6048493083295686E-8,1.7271157167530224E-4,1.2753926650851E-6,12.694877211842861,7.0812794472016485,11.223562380942052,20.12090433203048,67.50048828125,33.850149154663086
windstilte,2,185,42794,title,1.1960506577323558E-6,1.1514104778353483E-4,8.517965452734423E-7,6.588979940745977,7.07867765201337,7.07867765201337,6.588979940745977,20.64501953125,22.556325912475586
gulfo.can,1,93,107,title,2.9905458797345904E-9,5.757052389176742E-5,4.2820042546178446E-7,14.232633869374839,7.07090030142165,0.0,0.0,25.56689453125,11.262725830078125
proxmire,1,93,722,title,2.0179197431480133E-8,5.757052389176742E-5,4.2820042546178446E-7,11.478245828888815,7.07090030142165,0.0,0.0,20.0703125,11.262725830078125
amu,1,93,13231,title,3.6979357509129313E-7,5.757052389176742E-5,4.2820042546178446E-7,7.282466371486743,7.07090030142165,0.0,0.0,11.697265625,11.262725830078125
officie,1,93,55061,title,1.5389013708791242E-6,5.757052389176742E-5,4.2820042546178446E-7,5.225357664296331,7.07090030142165,0.0,0.0,7.642578125,11.262725830078125
terlingen,3,279,14166,title,3.9592591525532906E-7,1.7271157167530224E-4,1.2846012763853533E-6,8.768918529547342,7.0709003014216485,11.207111824091234,13.89840704121144,43.97607421875,33.78866767883301
savornin,2,187,88738,title,2.480140750241945E-6,1.1514104778353483E-4,8.610051565736957E-7,5.536836438536026,7.063164652642042,7.063164652642042,5.536836438536026,16.50146484375,22.495071411132812
doofpot,5,469,54554,title,1.5247312142340267E-6,2.878526194588371E-4,2.159419349909429E-6,7.560631589622831,7.058543094901667,16.389429521025374,17.55524290303815,61.25732421875,56.19327354431152
brands,37,3473,283397,title,7.920670380178914E-6,0.0021301093839953943,1.599075352289008E-5,8.071089260794164,7.05754578277654,36.765955631165646,42.045963113935834,491.00439453125,415.85430335998535
zamora,2,189,28658,title,8.009632132844289E-7,1.1514104778353483E-4,8.70213767873949E-7,7.167450546694971,7.047816688308609,7.047816688308609,7.167450546694971,22.93896484375,22.434459686279297
verdubbelde,2,189,52499,title,1.4672959639269744E-6,1.1514104778353483E-4,8.70213767873949E-7,6.294098533615033,7.047816688308609,7.047816688308609,6.294098533615033,19.47900390625,22.434459686279297
meningen,25,2373,123583,title,3.454024593039625E-6,0.0014392630972941854,1.0926017307750693E-5,8.702836270448437,7.041418917110459,32.69933682302024,40.41472008311795,363.22509765625,280.16204261779785
dubbelrol,1,95,8613,title,2.4072496880517784E-7,5.757052389176742E-5,4.374090367620379E-7,7.901800739847646,7.040203504198731,0.0,0.0,12.9296875,11.202117919921875
norl,1,95,8704,title,2.432683302542979E-7,5.757052389176742E-5,4.374090367620379E-7,7.886638014525646,7.040203504198731,0.0,0.0,12.89990234375,11.202117919921875
betalers,1,95,16163,title,4.517401220014036E-7,5.757052389176742E-5,4.374090367620379E-7,6.9936934759442675,7.040203504198731,0.0,0.0,11.125,11.202117919921875
verduisterde,1,95,47454,title,1.3262931231488341E-6,5.757052389176742E-5,4.374090367620379E-7,5.4398587759782355,7.040203504198731,0.0,0.0,8.060546875,11.202117919921875
staatsrecht,2,191,44918,title,1.255414390896433E-6,1.1514104778353483E-4,8.794223791742025E-7,6.519094783891353,7.032630284493932,7.032630284493932,6.519094783891353,20.3681640625,22.374494552612305
starfighter,9,867,13665,title,3.8192345277171197E-7,5.181347150259067E-4,3.991932998659862E-6,10.405828017807726,7.020095930750157,22.253177603408364,32.985694394357616,161.353515625,100.4676628112793
concurrentieslag,2,193,6799,title,1.9002543398425683E-7,1.1514104778353483E-4,8.886309904744559E-7,9.24299400138795,7.0176020752616015,7.0176020752616015,9.24299400138795,31.2099609375,22.315155029296875
integration,1,97,1547,title,4.3237144635041225E-8,5.757052389176742E-5,4.4661764806229134E-7,10.37884337432695,7.010146270342554,0.0,0.0,17.873046875,11.142776489257812
gedragscode,1,97,5554,title,1.5522889547706464E-7,5.757052389176742E-5,4.4661764806229134E-7,8.534789393957139,7.010146270342554,0.0,0.0,14.19140625,11.142776489257812
presidentdirecteur,1,97,7158,title,2.0005913464617008E-7,5.757052389176742E-5,4.4661764806229134E-7,8.168760027359601,7.010146270342554,0.0,0.0,13.46240234375,11.142776489257812
vrijgeven,1,97,14851,title,4.150709986910131E-7,5.757052389176742E-5,4.4661764806229134E-7,7.115828397290228,7.010146270342554,0.0,0.0,11.36669921875,11.142776489257812
review,1,97,41594,title,1.162511825436267E-6,5.757052389176742E-5,4.4661764806229134E-7,5.6300130438829665,7.010146270342554,0.0,0.0,8.43310546875,11.142776489257812
