ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
ongedwongen,2,729,77218,title,2.1581679601994917E-6,2.9442072721919626E-4,2.8821647234708836E-6,7.091928283018975,6.674582638702434,6.674582638702434,7.091928283018975,22.6396484375,20.97711753845215
bestookt,2,477,112733,title,3.150777651029155E-6,2.9442072721919626E-4,1.8858608684439115E-6,6.546027482872509,7.286512187023858,7.286512187023858,6.546027482872509,20.4755859375,23.401142120361328
pistool,2,1901,190408,title,5.3217183165280735E-6,2.9442072721919626E-4,7.515768366691563E-6,5.789843281277454,5.291814826380817,5.291814826380817,5.789843281277454,17.4931640625,15.541711807250977
gasten,2,8233,1448297,title,4.047849183160718E-5,2.9442072721919626E-4,3.254987951760739E-5,2.8626517972260537,3.1771551322796263,3.1771551322796263,2.8626517972260537,6.47265625,7.575948715209961
kraakgroep,2,49,399,title,1.1151661738449548E-8,2.9442072721919626E-4,1.937257495885779E-7,14.68833291430303,10.56964779891416,10.56964779891416,14.68833291430303,52.9697265625,36.39640808105469
wraakt,2,1,9766,title,2.7295019683633655E-7,2.9442072721919626E-4,3.9535867262975085E-9,10.075025787887911,16.184357643029372,16.184357643029372,10.075025787887911,34.53466796875,55.228736877441406
vreedzame,2,1603,283762,title,7.930871775002307E-6,2.9442072721919626E-4,6.337599522254906E-6,5.214255972321398,5.537798932874823,5.537798932874823,5.214255972321398,15.2421875,16.50200080871582
oplossing,2,19495,2425402,title,6.77876257738321E-5,2.9442072721919626E-4,7.707517322916992E-5,2.1187853935548144,1.9335411087443717,1.9335411087443717,2.1187853935548144,4.033203125,3.4743919372558594
durven,2,2779,658983,title,1.841793360247794E-5,2.9442072721919626E-4,1.0987017512380775E-5,3.998696128051053,4.744007523828808,4.744007523828808,3.998696128051053,10.58544921875,13.41946029663086
gewelddadige,2,1245,99526,title,2.7816548525837837E-6,2.9442072721919626E-4,4.922215474240398E-6,6.725792008926641,5.902427616073924,5.902427616073924,6.725792008926641,21.1884765625,17.93174934387207
buurtwinkel,2,385,2976,title,8.317630409430038E-8,2.9442072721919626E-4,1.5221308896245406E-6,11.789419039417345,7.595643007447107,7.595643007447107,11.789419039417345,41.38720703125,24.627656936645508
slopers,2,269,10888,title,3.0430900503317965E-7,2.9442072721919626E-4,1.0635148293740298E-6,9.918126499021382,8.112895280472744,8.112895280472744,9.918126499021382,33.908203125,26.681241989135742
aangifte,2,3337,1145624,title,3.201907600864542E-5,2.9442072721919626E-4,1.3193118905654785E-5,3.200875659744863,4.48002167184705,4.48002167184705,3.200875659744863,7.66015625,12.407094955444336
afwachten,2,2509,408315,title,1.1412006924147938E-5,2.9442072721919626E-4,9.919549096280447E-6,4.689254808211727,4.891460887620196,4.891460887620196,4.689254808211727,13.21044921875,13.988136291503906
brandkastkraak,2,9,710,title,1.9843809108519245E-8,2.9442072721919626E-4,3.558228053667757E-8,13.856902636133333,13.014432641587058,13.014432641587058,13.856902636133333,49.64990234375,45.690284729003906
vierduizend,2,905,65092,title,1.8192580598475137E-6,2.9442072721919626E-4,3.577995987299245E-6,7.338385228192452,6.362583661058801,6.362583661058801,7.338385228192452,23.61962890625,19.74429702758789
rustig,2,26837,2174926,title,6.0787065308669476E-5,2.9442072721919626E-4,1.0610240697364622E-4,2.2760429658716532,1.4724218559888893,1.4724218559888893,2.2760429658716532,4.5244140625,2.198822021484375
trekt,2,6865,1065797,title,2.9787989037228853E-5,2.9442072721919626E-4,2.7141372876032395E-5,3.305076603875598,3.439313637994907,3.439313637994907,3.305076603875598,8.0341796875,8.518461227416992
menselijk,2,2803,159362,title,4.454012826974428E-6,2.9442072721919626E-4,1.1081903593811915E-5,6.046629717571088,4.731601613996874,4.731601613996874,6.046629717571088,18.50341796875,13.371713638305664
woorden,2,23167,5163019,title,1.443013569854337E-4,2.9442072721919626E-4,9.159274368813438E-5,1.0287943739492391,1.6845740283122428,1.6845740283122428,1.0287943739492391,1.1728515625,2.7630558013916016
hardhandig,2,469,44651,title,1.2479520007105532E-6,2.9442072721919626E-4,1.8542321746335313E-6,7.882172984792126,7.310913530513991,7.310913530513991,7.882172984792126,25.7822265625,23.4979190826416
spullen,2,2881,101466,title,2.835875964795794E-6,2.9442072721919626E-4,1.1390283358463122E-5,6.697940996941851,4.6920036978695006,4.6920036978695006,6.697940996941851,21.0771484375,13.21942138671875
fractie,2,6455,643723,title,1.7991431451779344E-5,2.9442072721919626E-4,2.5520402318250417E-5,4.032497359325541,3.528156262834816,3.528156262834816,4.032497359325541,10.71240234375,8.842016220092773
betaald,2,16605,2773769,title,7.75241444325751E-5,2.9442072721919626E-4,6.564930759017013E-5,1.9251616364492552,2.165027540639299,2.165027540639299,1.9251616364492552,3.44970703125,4.176387786865234
termijn,2,29707,2411395,title,6.7396143753856E-5,2.9442072721919626E-4,1.1744920087812008E-4,2.1271412893793418,1.3258423433841404,1.3258423433841404,2.1271412893793418,4.0595703125,1.8348827362060547
kunst,2,15559,2751136,title,7.689157410644395E-5,2.9442072721919626E-4,6.151385587446293E-5,1.9369818214177297,2.258895924325607,2.258895924325607,1.9369818214177297,3.48486328125,4.470800399780273
paraat,2,795,101386,title,2.8336400426427215E-6,2.9442072721919626E-4,3.143101447406519E-6,6.699078926163695,6.549546592857654,6.549546592857654,6.699078926163695,21.0810546875,20.482742309570312
amsterdams,2,2597,172804,title,4.82970364674445E-6,2.9442072721919626E-4,1.0267464728194629E-5,5.929800763255161,4.8417273443509625,4.8417273443509625,5.929800763255161,18.04345703125,13.796092987060547
chloorbommen,2,23,29,title,8.105217804888142E-10,2.9442072721919626E-4,9.093249470484269E-8,18.470596855397808,11.660795686972358,11.660795686972358,18.470596855397808,67.91796875,40.631256103515625
utsmiter,2,7,62,title,1.732839668631258E-9,2.9442072721919626E-4,2.7675107084082558E-8,17.3743815401385,13.377002720971769,13.377002720971769,17.3743815401385,63.63525390625,46.983293533325195
botenmakersstraat,2,43,446,title,1.2465266003379694E-8,2.9442072721919626E-4,1.7000422923079284E-7,14.527677950605073,10.75809288832727,10.75809288832727,14.527677950605073,52.328125,37.13375473022461
politieoptreden,2,539,9212,title,2.5746643592630885E-7,2.9442072721919626E-4,2.1309832454743568E-6,10.159279154732532,7.110216180276863,7.110216180276863,10.159279154732532,34.87109375,22.702146530151367
pamfletten,2,1247,88582,title,2.4757807020434534E-6,2.9442072721919626E-4,4.9301226476929925E-6,6.893851900287936,5.900111893199698,5.900111893199698,6.893851900287936,21.85302734375,17.922649383544922
muziek,2,47181,4460124,title,1.2465612571313422E-4,2.9442072721919626E-4,1.8653417533344272E-4,1.2399254608093777,0.6584392666966998,0.6584392666966998,1.2399254608093777,1.6328125,0.51922607421875
kunstenaars,2,5499,600474,title,1.6782663986801386E-5,2.9442072721919626E-4,2.1740773407909996E-5,4.132835596241131,3.759404071768328,3.759404071768328,4.132835596241131,11.08984375,9.692790985107422
onderhandelingen,2,13639,1947829,title,5.44399251437154E-5,2.9442072721919626E-4,5.392296935997172E-5,2.4351422524876263,2.448907392426353,2.448907392426353,2.4351422524876263,5.03759765625,5.082048416137695
rel,2,4729,309709,title,8.656065176324488E-6,2.9442072721919626E-4,1.8696511628660918E-5,5.0880240684175835,3.9770382165715663,3.9770382165715663,5.0880240684175835,14.75146484375,10.50350570678711
autoshow,2,513,26378,title,7.3723943192186E-7,2.9442072721919626E-4,2.028189990590622E-6,8.641530288473854,7.181542627422315,7.181542627422315,8.641530288473854,28.81005859375,22.984899520874023
sweelinck,2,191,23274,title,6.504856523826435E-7,2.9442072721919626E-4,7.55135064722824E-7,8.822146289272807,8.606928814993621,8.606928814993621,8.822146289272807,29.53076171875,28.642623901367188
conservatorium,2,1545,151270,title,4.227849301191135E-6,2.9442072721919626E-4,6.10829149212965E-6,6.121811476720902,5.590966520237631,5.590966520237631,6.121811476720902,18.7998046875,16.71004295349121
optimistisch,2,2641,223260,title,6.239899748687333E-6,2.9442072721919626E-4,1.0441422544151719E-5,5.560212579791086,4.817489056862277,4.817489056862277,5.560212579791086,16.5927734375,13.70258903503418
behuizing,2,2567,363808,title,1.0168079583312915E-5,2.9442072721919626E-4,1.0148857126405704E-5,4.855760108433335,4.858490062453951,4.858490062453951,4.855760108433335,13.8525390625,13.860797882080078
muziekschool,2,1191,127944,title,3.5759102994089946E-6,2.9442072721919626E-4,4.7087217910203325E-6,6.363424883054387,5.966399945165255,5.966399945165255,6.363424883054387,19.75341796875,18.183244705200195
