ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
woningbouw,2,3377,289379,title,8.087861459174917E-6,3.2056419297964416E-4,1.387798331590243E-5,5.308711190387463,4.529743442940848,4.529743442940848,5.308711190387463,15.60986328125,12.597312927246094
scherp,2,6123,1200057,title,3.354042539062293E-5,3.2056419297964416E-4,2.5162834422052288E-5,3.2566403937352657,3.6712469391944467,3.6712469391944467,3.2566403937352657,7.85986328125,9.36717414855957
noodzakelijk,2,17081,2345534,title,6.555539289231209E-5,3.2056419297964416E-4,7.019539029284259E-5,2.2898269121927335,2.1911650879902886,2.1911650879902886,2.2898269121927335,4.56884765625,4.257890701293945
buigt,2,425,79849,title,2.2317018500086663E-6,3.2056419297964416E-4,1.7465628988032373E-6,7.166325175772059,7.519950875923257,7.519950875923257,7.166325175772059,22.935546875,24.327974319458008
beweging,2,11803,2709657,title,7.573227641910272E-5,3.2056419297964416E-4,4.850513386958732E-5,2.0816330853427214,2.724403927554503,2.724403927554503,2.0816330853427214,3.9189453125,6.000339508056641
uitstel,2,3297,571508,title,1.597309247322763E-5,3.2056419297964416E-4,1.3549218534951232E-5,4.326897727338798,4.564331735277936,4.564331735277936,4.326897727338798,11.82568359375,12.729705810546875
haalt,2,3969,496651,title,1.3880912165570693E-5,3.2056419297964416E-4,1.631084269494129E-5,4.52943900453764,4.2967100599484915,4.2967100599484915,4.52943900453764,12.59814453125,11.709211349487305
broekriem,2,213,5633,title,1.574368686032238E-7,3.2056419297964416E-4,8.753362292825637E-7,10.991624139040642,8.516560286722484,8.516560286722484,10.991624139040642,38.1982421875,28.285282135009766
vliegreis,2,2111,83098,title,2.322508238450327E-6,3.2056419297964416E-4,8.675280657349727E-6,7.108785761055266,5.207559043601165,5.207559043601165,7.108785761055266,22.70751953125,15.213920593261719
raakt,2,3681,460185,title,1.2861722950146379E-5,3.2056419297964416E-4,1.512728948351698E-5,4.63945746200606,4.405387872564262,4.405387872564262,4.63945746200606,13.01904296875,12.12251091003418
gunst,2,2583,535439,title,1.4964999021487939E-5,3.2056419297964416E-4,1.0614992864961794E-5,4.4209491958403255,4.916437978830324,4.916437978830324,4.4209491958403255,12.18310546875,14.084842681884766
jaap,2,10219,520059,title,1.4535142987559732E-5,3.2056419297964416E-4,4.199559120675361E-5,4.462996116476354,2.932303501928372,2.932303501928372,4.462996116476354,12.34326171875,6.714714050292969
metz,2,1199,256337,title,7.16436971190211E-6,3.2056419297964416E-4,4.927362154506074E-6,5.483629686794924,6.023653963534098,6.023653963534098,5.483629686794924,16.29345703125,18.40877342224121
lokken,2,883,269923,title,7.544085191547662E-6,3.2056419297964416E-4,3.628741269748844E-6,5.409123507498446,6.465000279299858,6.465000279299858,5.409123507498446,16.001953125,20.14906883239746
geweldloos,2,71,5120,title,1.4309901779664583E-7,3.2056419297964416E-4,2.917787430941879E-7,11.129383800392826,10.101522787443638,10.101522787443638,11.129383800392826,38.7490234375,34.56110763549805
onderhoud,2,21683,2323645,title,6.494361664220451E-5,3.2056419297964416E-4,8.910758431706023E-5,2.303353651301551,1.8469931495955603,1.8469931495955603,2.303353651301551,4.61181640625,3.2216453552246094
goedkoper,2,12701,414074,title,1.1572965370142251E-5,3.2056419297964416E-4,5.2195518535764515E-5,4.791782803136023,2.618615436838846,2.618615436838846,4.791782803136023,13.60546875,5.643634796142578
stacaravan,2,14601,344975,title,9.641715559452714E-6,3.2056419297964416E-4,6.0003682083355455E-5,5.055179605859454,2.4174903469486644,2.4174903469486644,5.055179605859454,14.62451171875,4.979717254638672
boot,2,19577,1842969,title,5.15091901815755E-5,3.2056419297964416E-4,8.045285145851995E-5,2.637711521901336,1.9943978256199753,1.9943978256199753,2.637711521901336,5.7080078125,3.655475616455078
gebruikte,2,18055,1585498,title,4.431312627315359E-5,3.2056419297964416E-4,7.419810150092341E-5,2.854807268376705,2.1111591071123197,2.1111591071123197,2.854807268376705,6.44677734375,4.009925842285156
