ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
regering,5,71197,6799019,title,1.900259650157682E-4,5.99592277251469E-4,2.814835141522037E-4,1.6577852406205533,1.0909313720735465,2.533064202411586,3.8492581254864686,6.72509765625,3.256288528442383
wilden,2,10563,1498803,title,4.1890085384895735E-5,2.398369109005876E-4,4.176173658988058E-5,2.5173729766290514,2.5218000963499456,2.5218000963499456,2.5173729766290514,5.30615234375,5.321357727050781
gemeenteraad,2,10593,1966296,title,5.495605982372529E-5,2.398369109005876E-4,4.18803441916695E-5,2.1257032303166703,2.5177085024534787,2.5177085024534787,2.1257032303166703,4.05517578125,5.30784797668457
uitslag,2,10633,2039780,title,5.700986611743012E-5,2.398369109005876E-4,4.203848766072141E-5,2.072770188058586,2.5122710323745476,2.5122710323745476,2.072770188058586,3.892578125,5.289905548095703
toestand,2,10653,6717384,title,1.8774434620369218E-4,2.398369109005876E-4,4.211755939524736E-5,0.3532842440153292,2.509559963192105,2.509559963192105,0.3532842440153292,0.16015625,5.280961990356445
tevreden,2,10675,1480065,title,4.13663765185923E-5,2.398369109005876E-4,4.22045383032259E-5,2.5355232110366615,2.50658365953902,2.50658365953902,2.5355232110366615,5.36669921875,5.271150588989258
aankoop,2,10761,1287972,title,3.599756409171514E-5,2.398369109005876E-4,4.2544546761687484E-5,2.7360825169301144,2.4950075782555547,2.4950075782555547,2.7360825169301144,6.04052734375,5.233034133911133
buiten,4,51257,8990565,title,2.512775431517385E-4,4.796738218011752E-4,2.0264899482983138E-4,0.9327719642823702,1.2430706871926436,2.486141374385287,1.8655439285647404,1.966796875,3.2797698974609375
hopen,2,10831,2064031,title,5.768765796910716E-5,2.398369109005876E-4,4.282129783252831E-5,2.0557191081227995,2.485653279749849,2.485653279749849,2.0557191081227995,3.8408203125,5.202272415161133
kantoren,2,10925,1202280,title,3.3602556077451434E-5,2.398369109005876E-4,4.319293498480028E-5,2.8354108214653433,2.473186449658911,2.473186449658911,2.8354108214653433,6.37939453125,5.161352157592773
